Analytical Report							

Score							
Samples	Groups	Comp 1	Comp 2	Comp 3	Comp 4		DmodX
1990		-3532.67 	-44.07 	-13.94 	-25.94 		0.37 
1991		-3683.96 	-28.48 	-20.09 	7.61 		0.95 
1992		-3695.73 	-27.11 	-6.89 	10.22 		1.42 
1993		-3708.55 	-20.63 	-10.97 	6.91 		0.63 
1994		-3716.29 	-19.35 	5.93 	20.04 		0.66 
1995		-3755.03 	-11.73 	19.57 	-5.20 		0.92 
1996		-3758.06 	-5.76 	22.23 	1.02 		0.99 
1997		-3769.79 	0.19 	16.36 	3.86 		1.10 
1998		-3787.98 	3.19 	13.88 	-6.17 		1.01 
1999		-3783.76 	10.46 	7.43 	-10.22 		1.02 
2000		-3792.19 	16.48 	3.34 	-6.48 		1.08 
2001		-3789.99 	20.12 	0.04 	4.14 		0.95 
2002		-3803.73 	30.56 	-7.13 	0.73 		1.30 
2003		-3810.81 	33.91 	-13.08 	0.02 		1.11 
2004		-3810.90 	36.29 	-17.82 	-1.31 		1.01 
							
Loading							
Variables	Type	Comp 1	Comp 2	Comp 3	Comp 4		
New_York	X	-0.13 	0.00 	-0.09 	0.08 		
Connecticut	X	-0.13 	0.05 	-0.02 	0.03 		
Massachusetts	X	-0.14 	0.12 	-0.15 	0.05 		
New_Jersey	X	-0.13 	0.05 	-0.02 	0.04 		
New_Hampshire	X	-0.14 	-0.05 	-0.01 	0.00 		
Maine	X	-0.13 	0.00 	0.12 	0.04 		
Pennsylvania	X	-0.13 	0.01 	-0.10 	0.10 		
Delaware	X	-0.13 	-0.10 	-0.09 	0.06 		
Georgia	X	-0.13 	0.11 	-0.12 	0.18 		
Rhode_Island	X	-0.13 	0.04 	-0.12 	0.08 		
Virginia	X	-0.13 	-0.02 	-0.20 	0.11 		
North_Carolina	X	-0.13 	0.28 	-0.09 	0.28 		
Maryland	X	-0.13 	-0.04 	-0.15 	0.09 		
Florida	X	-0.13 	-0.10 	0.01 	0.11 		
Vermont	X	-0.13 	0.06 	-0.06 	0.13 		
Indiana	X	-0.13 	0.07 	0.00 	0.14 		
South_Carolina	X	-0.13 	0.20 	-0.23 	0.28 		
Hawaii	X	-0.14 	-0.01 	-0.03 	-0.01 		
Oregon	X	-0.14 	0.04 	0.09 	0.05 		
Alaska	X	-0.14 	0.00 	0.10 	0.01 		
Texas	X	-0.13 	-0.10 	0.11 	0.30 		
Washington	X	-0.14 	0.11 	0.01 	-0.06 		
California	X	-0.14 	-0.05 	-0.10 	0.03 		
Nevada	X	-0.14 	-0.12 	-0.18 	0.04 		
Arizona	X	-0.14 	-0.13 	-0.03 	0.00 		
Montana	X	-0.14 	-0.25 	0.11 	-0.08 		
Ohio	X	-0.14 	0.03 	0.09 	0.04 		
Colorado	X	-0.14 	0.02 	-0.13 	-0.08 		
Idaho	X	-0.14 	-0.02 	0.05 	0.02 		
West_Virginia	X	-0.14 	-0.19 	-0.18 	0.00 		
Tennessee	X	-0.15 	-0.14 	0.01 	0.07 		
New_Mexico	X	-0.14 	-0.31 	0.02 	-0.02 		
Kentucky	X	-0.15 	-0.07 	-0.16 	-0.02 		
Wyoming	X	-0.14 	-0.13 	0.05 	-0.12 		
Michigan	X	-0.15 	0.23 	0.24 	0.04 		
Illinois	X	-0.15 	0.37 	0.04 	-0.09 		
Minnesota	X	-0.16 	0.10 	0.39 	-0.12 		
Alabama	X	-0.15 	-0.02 	0.25 	0.04 		
Kansas	X	-0.15 	0.00 	-0.06 	-0.22 		
Louisiana	X	-0.15 	0.04 	0.03 	0.03 		
Missouri	X	-0.15 	0.28 	0.09 	-0.09 		
Nebraska	X	-0.15 	-0.09 	-0.11 	-0.25 		
Oklahoma	X	-0.15 	0.01 	0.06 	0.02 		
Wisconsin	X	-0.16 	0.24 	0.24 	-0.23 		
Utah	X	-0.15 	-0.31 	0.33 	0.13 		
Arkansas	X	-0.15 	0.03 	0.05 	-0.01 		
Iowa	X	-0.16 	-0.19 	-0.09 	-0.17 		
South_Dakota	X	-0.15 	0.05 	-0.31 	-0.42 		
Mississippi	X	-0.15 	-0.17 	0.18 	0.07 		
North_Dakota	X	-0.16 	0.07 	-0.02 	-0.38 		
